	Time (Secs)	CHAN1
R1	-0.01	-0.01875
R2	-0.00999	-0.01875
R3	-0.00998	0
R4	-0.00997	0
R5	-0.00996	0
R6	-0.00995	0
R7	-0.00994	0.06875
R8	-0.00993	0.06875
R9	-0.00992	0.075
R10	-0.00991	0
R11	-0.0099	0
R12	-0.00989	0
R13	-0.00988	0
R14	-0.00987	0
R15	-0.00986	0.1
R16	-0.00985	0.1
R17	-0.00984	0.1
R18	-0.00983	0.10625
R19	-0.00982	0.10625
R20	-0.00981	0.1125
R21	-0.0098	0.1125
R22	-0.00979	0.1125
R23	-0.00978	0.11875
R24	-0.00977	0.125
R25	-0.00976	0.11875
R26	-0.00975	0.11875
R27	-0.00974	0.11875
R28	-0.00973	0.13125
R29	-0.00972	0.13125
R30	-0.00971	0.1375
R31	-0.0097	0.1375
R32	-0.00969	0.1375
R33	-0.00968	0.14375
R34	-0.00967	0.15
R35	-0.00966	0.15
R36	-0.00965	0.15
R37	-0.00964	0.15625
R38	-0.00963	0.15625
R39	-0.00962	0.1625
R40	-0.00961	0.1625
R41	-0.0096	0.16875
R42	-0.00959	0.15625
R43	-0.00958	0.1625
R44	-0.00957	0.16875
R45	-0.00956	0.16875
R46	-0.00955	0.175
R47	-0.00954	0.18125
R48	-0.00953	0.1875
R49	-0.00952	0.18125
R50	-0.00951	0.1875
R51	-0.0095	0.1875
R52	-0.00949	0.19375
R53	-0.00948	0.19375
R54	-0.00947	0.2
R55	-0.00946	0.2
R56	-0.00945	0.20625
R57	-0.00944	0.20625
R58	-0.00943	0.20625
R59	-0.00942	0.2125
R60	-0.00941	0.20625
R61	-0.0094	0.2125
R62	-0.00939	0.2125
R63	-0.00938	0.225
R64	-0.00937	0.225
R65	-0.00936	0.225
R66	-0.00935	0.23125
R67	-0.00934	0.23125
R68	-0.00933	0.2375
R69	-0.00932	0.2375
R70	-0.00931	0.2375
R71	-0.0093	0.2375
R72	-0.00929	0.24375
R73	-0.00928	0.24375
R74	-0.00927	0.25
R75	-0.00926	0.25
R76	-0.00925	0.24375
R77	-0.00924	0.23125
R78	-0.00923	0.25
R79	-0.00922	0.25625
R80	-0.00921	0.25625
R81	-0.0092	0.2625
R82	-0.00919	0.26875
R83	-0.00918	0.26875
R84	-0.00917	0.275
R85	-0.00916	0.28125
R86	-0.00915	0.28125
R87	-0.00914	0.28125
R88	-0.00913	0.28125
R89	-0.00912	0.28125
R90	-0.00911	0.2875
R91	-0.0091	0.2875
R92	-0.00909	0.28125
R93	-0.00908	0.26875
R94	-0.00907	0.2625
R95	-0.00906	0.25625
R96	-0.00905	0.3
R97	-0.00904	0.3
R98	-0.00903	0.3
R99	-0.00902	0.3125
R100	-0.00901	0.3125
R101	-0.009	0.3125
R102	-0.00899	0.31875
R103	-0.00898	0.31875
R104	-0.00897	0.325
R105	-0.00896	0.325
R106	-0.00895	0.325
R107	-0.00894	0.33125
R108	-0.00893	0.325
R109	-0.00892	0.3125
R110	-0.00891	0.3
R111	-0.0089	0.2875
R112	-0.00889	0.275
R113	-0.00888	0.2625
R114	-0.00887	0.34375
R115	-0.00886	0.34375
R116	-0.00885	0.35
R117	-0.00884	0.35625
R118	-0.00883	0.3625
R119	-0.00882	0.35625
R120	-0.00881	0.3625
R121	-0.0088	0.3625
R122	-0.00879	0.36875
R123	-0.00878	0.36875
R124	-0.00877	0.36875
R125	-0.00876	0.35
R126	-0.00875	0.3375
R127	-0.00874	0.33125
R128	-0.00873	0.3125
R129	-0.00872	0.29375
R130	-0.00871	0.28125
R131	-0.0087	0.275
R132	-0.00869	0.3875
R133	-0.00868	0.39375
R134	-0.00867	0.39375
R135	-0.00866	0.4
R136	-0.00865	0.4
R137	-0.00864	0.4
R138	-0.00863	0.40625
R139	-0.00862	0.40625
R140	-0.00861	0.4125
R141	-0.0086	0.40625
R142	-0.00859	0.3875
R143	-0.00858	0.36875
R144	-0.00857	0.35
R145	-0.00856	0.3375
R146	-0.00855	0.31875
R147	-0.00854	0.30625
R148	-0.00853	0.3
R149	-0.00852	0.425
R150	-0.00851	0.425
R151	-0.0085	0.43125
R152	-0.00849	0.43125
R153	-0.00848	0.4375
R154	-0.00847	0.44375
R155	-0.00846	0.44375
R156	-0.00845	0.44375
R157	-0.00844	0.44375
R158	-0.00843	0.44375
R159	-0.00842	0.41875
R160	-0.00841	0.39375
R161	-0.0084	0.38125
R162	-0.00839	0.3625
R163	-0.00838	0.35
R164	-0.00837	0.33125
R165	-0.00836	0.3125
R166	-0.00835	0.3
R167	-0.00834	0.46875
R168	-0.00833	0.46875
R169	-0.00832	0.46875
R170	-0.00831	0.48125
R171	-0.0083	0.475
R172	-0.00829	0.48125
R173	-0.00828	0.48125
R174	-0.00827	0.4875
R175	-0.00826	0.48125
R176	-0.00825	0.45625
R177	-0.00824	0.44375
R178	-0.00823	0.4125
R179	-0.00822	0.39375
R180	-0.00821	0.375
R181	-0.0082	0.35625
R182	-0.00819	0.33125
R183	-0.00818	0.3125
R184	-0.00817	0.30625
R185	-0.00816	0.5125
R186	-0.00815	0.5125
R187	-0.00814	0.5125
R188	-0.00813	0.51875
R189	-0.00812	0.51875
R190	-0.00811	0.51875
R191	-0.0081	0.525
R192	-0.00809	0.51875
R193	-0.00808	0.5125
R194	-0.00807	0.48125
R195	-0.00806	0.4375
R196	-0.00805	0.4125
R197	-0.00804	0.39375
R198	-0.00803	0.375
R199	-0.00802	0.3625
R200	-0.00801	0.34375
R201	-0.008	0.33125
R202	-0.00799	0.3125
R203	-0.00798	0.55
R204	-0.00797	0.55
R205	-0.00796	0.55
R206	-0.00795	0.55625
R207	-0.00794	0.55625
R208	-0.00793	0.55625
R209	-0.00792	0.55625
R210	-0.00791	0.55625
R211	-0.0079	0.51875
R212	-0.00789	0.48125
R213	-0.00788	0.4625
R214	-0.00787	0.43125
R215	-0.00786	0.4125
R216	-0.00785	0.3875
R217	-0.00784	0.38125
R218	-0.00783	0.35625
R219	-0.00782	0.3375
R220	-0.00781	0.325
R221	-0.0078	0.5875
R222	-0.00779	0.58125
R223	-0.00778	0.5875
R224	-0.00777	0.59375
R225	-0.00776	0.59375
R226	-0.00775	0.59375
R227	-0.00774	0.59375
R228	-0.00773	0.59375
R229	-0.00772	0.54375
R230	-0.00771	0.51875
R231	-0.0077	0.5
R232	-0.00769	0.45625
R233	-0.00768	0.44375
R234	-0.00767	0.40625
R235	-0.00766	0.4
R236	-0.00765	0.36875
R237	-0.00764	0.35625
R238	-0.00763	0.6
R239	-0.00762	0.61875
R240	-0.00761	0.625
R241	-0.0076	0.625
R242	-0.00759	0.625
R243	-0.00758	0.625
R244	-0.00757	0.63125
R245	-0.00756	0.63125
R246	-0.00755	0.63125
R247	-0.00754	0.6
R248	-0.00753	0.54375
R249	-0.00752	0.5125
R250	-0.00751	0.49375
R251	-0.0075	0.45625
R252	-0.00749	0.43125
R253	-0.00748	0.40625
R254	-0.00747	0.3875
R255	-0.00746	0.36875
R256	-0.00745	0.375
R257	-0.00744	0.65
R258	-0.00743	0.65
R259	-0.00742	0.65625
R260	-0.00741	0.65625
R261	-0.0074	0.6625
R262	-0.00739	0.6625
R263	-0.00738	0.66875
R264	-0.00737	0.6625
R265	-0.00736	0.6625
R266	-0.00735	0.59375
R267	-0.00734	0.55
R268	-0.00733	0.53125
R269	-0.00732	0.4875
R270	-0.00731	0.45625
R271	-0.0073	0.4375
R272	-0.00729	0.41875
R273	-0.00728	0.3875
R274	-0.00727	0.6875
R275	-0.00726	0.68125
R276	-0.00725	0.68125
R277	-0.00724	0.6875
R278	-0.00723	0.69375
R279	-0.00722	0.69375
R280	-0.00721	0.69375
R281	-0.0072	0.6875
R282	-0.00719	0.69375
R283	-0.00718	0.69375
R284	-0.00717	0.6875
R285	-0.00716	0.69375
R286	-0.00715	0.7
R287	-0.00714	0.7
R288	-0.00713	0.7
R289	-0.00712	0.70625
R290	-0.00711	0.7125
R291	-0.0071	0.7125
R292	-0.00709	0.7125
R293	-0.00708	0.7125
R294	-0.00707	0.71875
R295	-0.00706	0.71875
R296	-0.00705	0.71875
R297	-0.00704	0.71875
R298	-0.00703	0.71875
R299	-0.00702	0.725
R300	-0.00701	0.725
R301	-0.007	0.725
R302	-0.00699	0.725
R303	-0.00698	0.725
R304	-0.00697	0.725
R305	-0.00696	0.73125
R306	-0.00695	0.73125
R307	-0.00694	0.7375
R308	-0.00693	0.7375
R309	-0.00692	0.7375
R310	-0.00691	0.7375
R311	-0.0069	0.7375
R312	-0.00689	0.74375
R313	-0.00688	0.74375
R314	-0.00687	0.74375
R315	-0.00686	0.74375
R316	-0.00685	0.74375
